area_name,incident_type,time_of_day,severity,source,women_involved,incident_date,lat,lng
Annapurna Road,bike_theft,22,medium,FreePressJournal 2024,0,2024-01-01,22.696747240713087,75.87620225144741
Sudama Nagar,bike_theft,20,medium,FreePressJournal Aug 2024,0,2024-01-01,22.691804285838458,75.87110571529773
Chandan Nagar,chain_snatching,7,high,FreePressJournal Aug 2024,1,2024-01-01,22.746991963650867,75.8884200285616
Juni Indore,theft,23,medium,FreePressJournal Nov 2024,0,2024-01-01,22.71289195090518,75.8526184120904
Juni Indore,house_theft,14,medium,FreePressJournal Nov 2024,0,2024-01-01,22.710236111842654,75.85218282716573
Khajrana,stabbing,21,high,FreePressJournal Nov 2024,0,2024-01-01,22.737435967122018,75.91054778525451
Khajrana,mobile_snatching,22,medium,FreePressJournal Mar 2024,0,2024-01-01,22.73684850167301,75.91276502269382
Kanadiya Road,assault_robbery,20,high,FreePressJournal Mar 2024,0,2024-01-01,22.78449705687465,75.8474340209177
Juni Indore,assault,19,high,FreePressJournal Apr 2024,0,2024-01-01,22.712906690070458,75.85171212618638
Bhawarkuan,chain_snatching,16,high,FreePressJournal Feb 2024,1,2024-01-01,22.682448435466778,75.8667096276831
Bapat Square,theft,18,medium,FreePressJournal Feb 2024,0,2024-01-01,22.720523506965776,75.88493504726023
Sadar Bazar,mobile_snatching,21,medium,FreePressJournal Mar 2024,0,2024-01-01,22.72261945911297,75.85107151771638
Rajwada,molestation,20,high,NCRB 2023,1,2024-01-01,22.719994655844804,75.8559184976691
Siyaganj,theft,15,medium,NCRB 2023,0,2024-01-01,22.71947403466407,75.85964252113654
Loha Mandi,assault,22,high,NCRB 2023,0,2024-01-01,22.70699094980324,75.85138701716801
Old Railway Lanes,robbery,23,high,NCRB 2023,1,2024-01-01,22.71150042705912,75.84491963415377
Malwa Mill,assault,21,high,NCRB 2023,0,2024-01-01,22.72222545345776,75.83173606124402
Nemawar Road,robbery,22,high,NCRB 2023,1,2024-01-01,22.654448538589794,75.82113265948406
Murai Mohalla,theft,2,medium,NCRB 2023,0,2024-01-01,22.714091670111852,75.84751319416971
Bhagirathpura,chain_snatching,9,high,NCRB 2023,1,2024-01-01,22.719947374841187,75.85150325010517
Pardeshipura,mobile_snatching,20,medium,NCRB 2023,0,2024-01-01,22.729571117368334,75.85229693662986
Banganga,assault,22,high,NCRB 2023,0,2024-01-01,22.691236963163913,75.86564340885214
Limbodi,robbery,21,high,NCRB 2023,0,2024-01-01,22.811052867891213,75.84284943715431
Bypass Roads,robbery,23,high,NCRB 2023,1,2024-01-01,22.781498171059763,75.87679005920577
Rau Bypass,assault,1,high,NCRB 2023,0,2024-01-01,22.662036419905302,75.80631978073775
Betma Road,robbery,22,high,NCRB 2023,1,2024-01-01,22.714011055768356,75.77509071217862
Hatod Road,assault,23,high,NCRB 2023,0,2024-01-01,22.78049804269295,75.79042963988562
Sanwer Road Indl,theft,3,high,Local Reports 2024,0,2024-01-01,22.745685406630482,75.81501087071253
Tejaji Nagar,chain_snatching,8,high,Local Reports 2024,1,2024-01-01,22.693954487413173,75.8353347196269
Musakhedi,mobile_snatching,21,medium,Local Reports 2024,0,2024-01-01,22.71067870247632,75.87560750976712
Vijay Nagar,pickpocket,17,low,Local Reports 2024,0,2024-01-01,22.73494526911141,75.88642843913381
MG Road,pickpocket,19,low,Local Reports 2024,0,2024-01-01,22.717623144742124,75.87999357617149
Palasia,bike_theft,14,low,Local Reports 2024,0,2024-01-01,22.71709030955791,75.87713307948154
Scheme 54,pickpocket,11,low,Local Reports 2024,0,2024-01-01,22.74379331322352,75.86830118554528
Sapna Sangeeta,pickpocket,18,low,Local Reports 2024,0,2024-01-01,22.730093792198446,75.87783790752853
Loha Mandi,chain_snatching,1,high,Synthetic_RealPattern,1,2023-04-25,22.710750384088698,75.84837984153924
Loha Mandi,robbery,1,high,Synthetic_RealPattern,0,2023-10-09,22.70772768261504,75.85004757964956
Loha Mandi,abduction,21,high,Synthetic_RealPattern,1,2023-04-15,22.706486032684037,75.85242808457643
Loha Mandi,chain_snatching,1,high,Synthetic_RealPattern,1,2024-07-12,22.710005398159073,75.84941112071274
Loha Mandi,chain_snatching,0,high,Synthetic_RealPattern,1,2024-03-08,22.708540914962438,75.85224059459996
Loha Mandi,robbery,20,high,Synthetic_RealPattern,0,2023-04-06,22.706632229409067,75.85401947227665
Loha Mandi,chain_snatching,0,high,Synthetic_RealPattern,1,2024-09-08,22.708871061460666,75.84876340429474
Loha Mandi,abduction,0,high,Synthetic_RealPattern,1,2023-07-23,22.70610633112669,75.85223561270935
Loha Mandi,molestation,1,high,Synthetic_RealPattern,1,2024-12-19,22.711355922412473,75.85086250131583
Loha Mandi,mobile_snatching,23,high,Synthetic_RealPattern,1,2023-08-14,22.7074526798896,75.85340885352628
Loha Mandi,robbery,22,high,Synthetic_RealPattern,1,2023-01-07,22.709875133706124,75.8492628987367
Loha Mandi,assault,23,high,Synthetic_RealPattern,0,2023-12-15,22.707770266456535,75.85235575571336
Loha Mandi,chain_snatching,21,high,Synthetic_RealPattern,1,2023-12-11,22.709020408127067,75.8532286917379
Loha Mandi,chain_snatching,20,high,Synthetic_RealPattern,1,2024-01-25,22.70918026167606,75.85386768531686
Loha Mandi,molestation,22,high,Synthetic_RealPattern,1,2023-12-19,22.70700912673315,75.85229948816975
Loha Mandi,abduction,22,high,Synthetic_RealPattern,1,2023-02-14,22.711717507766586,75.85118304858406
Loha Mandi,chain_snatching,23,high,Synthetic_RealPattern,1,2024-07-03,22.710550796940165,75.85190708344122
Loha Mandi,molestation,23,high,Synthetic_RealPattern,1,2023-03-22,22.711536993649386,75.85341342990688
Loha Mandi,molestation,22,high,Synthetic_RealPattern,1,2024-10-05,22.711268964102565,75.85162365847984
Loha Mandi,robbery,22,high,Synthetic_RealPattern,1,2024-08-14,22.709487399872867,75.84838232235819
Loha Mandi,abduction,20,high,Synthetic_RealPattern,1,2023-02-16,22.71143124541014,75.85378569217305
Loha Mandi,chain_snatching,21,high,Synthetic_RealPattern,1,2023-10-24,22.706430955012312,75.8523371605062
Loha Mandi,mobile_snatching,21,high,Synthetic_RealPattern,0,2023-04-14,22.707075897174516,75.85225908031467
Loha Mandi,assault,23,high,Synthetic_RealPattern,0,2024-10-12,22.706171363733464,75.84949405091439
Loha Mandi,robbery,22,high,Synthetic_RealPattern,1,2023-12-30,22.70785198198458,75.8521533128214
Loha Mandi,abduction,22,high,Synthetic_RealPattern,1,2024-12-19,22.708232063738137,75.85056318643393
Loha Mandi,molestation,1,high,Synthetic_RealPattern,1,2023-03-15,22.707528094190643,75.85210739786226
Loha Mandi,molestation,1,high,Synthetic_RealPattern,1,2023-06-25,22.710872425054912,75.84883955818185
Loha Mandi,robbery,1,high,Synthetic_RealPattern,0,2023-09-08,22.70804051996016,75.85214707182763
