area_name,area_type,time_of_day,lighting_quality,crime_rate,crowd_density,incident_count,cctv_coverage,police_distance_km,safety_score,safety_label,lat,lng,ward_no,women_safety_risk,street_light_coverage,police_station_nearby,ncrb_crime_intensity
Palda,residential,10,medium,medium,low,16,no,5.0,40.9,Medium,22.6734,75.9123,24,low,partial,0,0.41
Nipania,residential,15,good,low,medium,1,yes,2.2,93.5,Safe,22.7634,75.9123,71,low,partial,0,0.35
Vijay Nagar,commercial,20,good,low,high,7,yes,1.2,65.9,Medium,22.7343,75.8867,45,low,full,1,0.61
Dwarkapuri,residential,3,good,low,low,3,yes,2.5,59.7,Medium,22.7423,75.8867,46,low,partial,0,0.53
Old Railway Lanes,isolated,17,poor,high,low,37,no,6.5,12.5,Unsafe,22.7134,75.8423,15,high,none,0,0.82
Sanwer Road Indl,industrial,22,poor,high,low,35,no,7.0,24.0,Unsafe,22.7456,75.8123,74,medium,partial,0,1.0
Scheme 140,residential,10,good,low,medium,1,yes,2.8,92.6,Safe,22.7634,75.8734,69,low,partial,0,0.44
Sanwer Road Indl,industrial,22,poor,high,low,34,no,7.0,19.6,Unsafe,22.7456,75.8123,74,medium,partial,0,0.94
Scheme 78,residential,3,good,low,low,1,yes,2.2,59.5,Medium,22.7467,75.8756,78,low,full,0,0.55
Bada Rawla Naka,market,16,medium,medium,medium,13,no,3.5,46.5,Medium,22.7089,75.8556,19,low,partial,0,0.55
Bambori,isolated,8,poor,high,low,38,no,8.5,17.0,Unsafe,22.8234,75.8623,86,low,none,0,0.77
Kanadiya Road,isolated,12,poor,high,low,35,no,8.0,8.1,Unsafe,22.7823,75.8456,82,low,partial,0,0.8
South Tukoganj,commercial,14,good,low,high,3,yes,0.8,96.0,Safe,22.7148,75.8826,12,low,full,0,0.4
Palasia,commercial,14,good,low,high,6,yes,1.5,92.8,Safe,22.7197,75.8772,32,low,full,1,0.42
Rajwada,market,21,medium,medium,high,17,yes,1.5,28.5,Unsafe,22.718,75.8573,8,medium,partial,1,0.85
Kanadiya,residential,8,medium,medium,medium,9,no,4.5,48.0,Medium,22.7934,75.8456,83,low,partial,1,0.4
Manik Bagh,residential,9,good,low,medium,2,yes,2.1,88.3,Safe,22.6934,75.8823,6,low,partial,0,0.37
Limbodi,residential,23,medium,medium,low,6,no,5.5,6.3,Unsafe,22.8123,75.8456,84,medium,partial,0,0.57
Dwarkapuri,residential,18,good,low,medium,4,yes,2.5,87.7,Safe,22.7423,75.8867,46,low,partial,0,0.43
Jawahar Marg,commercial,20,good,low,high,1,yes,1.5,69.2,Medium,22.7178,75.8712,22,low,partial,0,0.58
South Tukoganj,commercial,3,good,low,low,2,yes,0.8,58.4,Medium,22.7148,75.8826,12,low,full,0,0.66
LIG Colony,residential,6,good,low,low,5,yes,2.4,80.8,Safe,22.7423,75.8734,55,low,partial,1,0.42
Palasia,commercial,12,good,low,high,3,yes,1.5,95.7,Safe,22.7197,75.8772,32,low,full,1,0.43
Manik Bagh,residential,21,good,low,medium,1,yes,2.1,66.7,Medium,22.6934,75.8823,6,low,partial,0,0.53
Navlakha,commercial,7,medium,low,high,5,yes,1.8,75.0,Safe,22.7156,75.8689,20,medium,partial,1,0.5
Siyaganj,market,11,medium,medium,high,14,yes,2.0,48.2,Medium,22.7212,75.8623,17,high,partial,1,0.58
Loha Mandi,industrial,5,poor,high,low,34,no,7.0,8.1,Unsafe,22.7089,75.8512,14,high,none,0,0.94
Tejaji Nagar,residential,17,medium,medium,medium,7,no,3.2,41.4,Medium,22.6934,75.8345,23,medium,partial,0,0.36
Murai Mohalla,residential,2,medium,medium,low,12,no,4.5,6.2,Unsafe,22.7145,75.8478,13,high,partial,0,0.59
Palda,residential,15,medium,medium,low,12,no,5.0,40.9,Medium,22.6734,75.9123,24,low,partial,0,0.41
Bada Rawla Naka,market,2,medium,medium,low,8,no,3.5,16.3,Unsafe,22.7089,75.8556,19,low,partial,0,0.87
Rau,residential,15,medium,low,medium,11,no,4.0,62.8,Medium,22.6734,75.8123,1,low,partial,1,0.42
AB Road,commercial,10,good,low,high,1,yes,1.3,95.5,Safe,22.7233,75.8958,52,low,full,0,0.45
Scheme 78,residential,7,good,low,medium,3,yes,2.2,87.5,Safe,22.7467,75.8756,78,low,full,0,0.45
Nemawar Road,isolated,18,poor,high,low,47,no,7.5,22.3,Unsafe,22.6543,75.8234,2,high,none,0,0.79
Sudama Nagar,residential,23,medium,medium,low,8,no,4.5,19.3,Unsafe,22.6891,75.8731,4,low,partial,0,0.57
AB Road,commercial,4,good,low,high,3,yes,1.3,68.4,Medium,22.7233,75.8958,52,low,full,0,0.66
Sanwer Road Indl,industrial,16,poor,high,low,39,no,7.0,17.0,Unsafe,22.7456,75.8123,74,medium,partial,0,0.71
Rau Bypass,isolated,21,poor,high,low,28,no,7.5,19.2,Unsafe,22.6623,75.8034,1,high,none,0,1.04
Scheme 140,residential,23,good,low,low,2,yes,2.8,59.3,Medium,22.7634,75.8734,69,low,partial,0,0.57
Loha Mandi,industrial,0,poor,high,low,37,no,7.0,5.4,Unsafe,22.7089,75.8512,14,high,none,0,1.0
Lasudia,residential,8,poor,medium,low,18,no,5.0,24.5,Unsafe,22.7567,75.9234,72,low,partial,1,0.35
Nipania,residential,8,good,low,medium,3,yes,2.2,88.3,Safe,22.7634,75.9123,71,low,partial,0,0.37
Nemawar Road,isolated,9,poor,high,low,54,no,7.5,24.4,Unsafe,22.6543,75.8234,2,high,none,0,0.78
Tejaji Nagar,residential,12,medium,medium,medium,17,no,3.2,41.4,Medium,22.6934,75.8345,23,medium,partial,0,0.36
Malwa Mill,industrial,17,poor,high,low,21,no,6.0,21.6,Unsafe,22.7234,75.8345,16,high,none,0,0.67
Anand Bazaar,commercial,4,good,low,low,4,yes,1.6,59.1,Medium,22.7167,75.8623,21,low,partial,0,0.59
Nanda Nagar,residential,20,medium,low,medium,8,yes,2.5,55.6,Medium,22.7456,75.8956,64,low,partial,0,0.54
Raoji Bazar,market,18,medium,medium,high,6,yes,1.8,47.9,Medium,22.7198,75.8534,11,high,partial,0,0.61
Bapat Square,commercial,23,good,low,medium,3,yes,1.4,65.8,Medium,22.7234,75.8867,36,low,full,0,0.62
Mhow Road,commercial,12,medium,medium,medium,13,yes,3.5,55.6,Medium,22.6534,75.8234,26,low,partial,0,0.44
Bypass Roads,isolated,17,poor,high,low,32,no,9.0,9.2,Unsafe,22.7823,75.8789,80,high,none,0,0.77
Scheme 78,residential,4,good,low,low,7,yes,2.2,56.6,Medium,22.7467,75.8756,78,low,full,0,0.54
Bypass Roads,isolated,23,poor,high,low,56,no,9.0,8.6,Unsafe,22.7823,75.8789,80,high,none,0,1.04
Manik Bagh,residential,3,good,low,low,5,yes,2.1,59.3,Medium,22.6934,75.8823,6,low,partial,0,0.57
Manik Bagh,residential,1,good,low,low,1,yes,2.1,59.3,Medium,22.6934,75.8823,6,low,partial,0,0.57
Hira Nagar,residential,0,medium,low,low,12,no,3.0,35.7,Unsafe,22.7534,75.8823,62,low,partial,0,0.53
Hatod Road,isolated,7,poor,high,low,40,no,8.5,8.7,Unsafe,22.7823,75.7934,81,low,none,0,0.82
Tejpur Gadbadi,isolated,11,poor,high,low,30,no,9.5,11.1,Unsafe,22.7534,75.9345,73,low,none,0,0.77
Bapat Square,commercial,7,good,low,high,1,yes,1.4,90.6,Safe,22.7234,75.8867,36,low,full,0,0.44
Scheme 54,residential,22,good,low,low,3,yes,2.5,58.9,Medium,22.7411,75.8673,54,low,full,1,0.61
Palasia,commercial,5,good,low,low,1,yes,1.5,58.6,Medium,22.7197,75.8772,32,low,full,1,0.64
Tilak Nagar,residential,19,medium,medium,low,8,no,4.2,40.9,Medium,22.7089,75.8734,10,low,partial,1,0.41
Bhagirathpura,residential,15,medium,medium,medium,14,no,4.0,32.8,Unsafe,22.7212,75.8489,28,high,partial,0,0.42
Murai Mohalla,residential,22,medium,medium,low,11,no,4.5,15.5,Unsafe,22.7145,75.8478,13,high,partial,0,0.59
Annapurna Road,commercial,20,medium,medium,medium,16,yes,3.0,34.4,Unsafe,22.6975,75.8782,7,low,partial,1,0.66
Manik Bagh,residential,3,good,low,low,5,yes,2.1,59.7,Medium,22.6934,75.8823,6,low,partial,0,0.53
Bhawarkuan,residential,19,medium,medium,medium,17,no,3.8,43.5,Medium,22.6812,75.8645,3,low,partial,1,0.35
Sanwer Road Indl,industrial,7,poor,high,low,39,no,7.0,13.6,Unsafe,22.7456,75.8123,74,medium,partial,0,0.68
Betma Road,isolated,4,poor,high,low,41,no,9.0,10.8,Unsafe,22.7123,75.7723,79,high,none,0,0.98
Jawahar Marg,commercial,2,good,low,low,5,yes,1.5,59.0,Medium,22.7178,75.8712,22,low,partial,0,0.6
Khajrana,residential,2,medium,medium,low,12,no,3.5,7.0,Unsafe,22.7395,75.9107,61,medium,partial,1,0.6
Chambal Colony,residential,21,poor,high,low,35,no,6.5,17.2,Unsafe,22.7289,75.8478,35,low,partial,0,0.6
Siyaganj,market,7,medium,medium,high,14,yes,2.0,43.2,Medium,22.7212,75.8623,17,high,partial,1,0.58
Tejpur Gadbadi,isolated,11,poor,high,low,36,no,9.5,7.8,Unsafe,22.7534,75.9345,73,low,none,0,0.82
Rau Bypass,isolated,8,poor,high,low,44,no,7.5,10.8,Unsafe,22.6623,75.8034,1,high,none,0,0.79
Bhanwarkuan,residential,9,medium,medium,medium,13,no,3.5,42.6,Medium,22.6812,75.8645,3,low,partial,0,0.44
Sapna Sangeeta,commercial,13,good,low,high,2,yes,1.8,95.5,Safe,22.7273,75.88,41,low,full,0,0.45
Bapat Square,commercial,17,good,low,high,3,yes,1.4,90.7,Safe,22.7234,75.8867,36,low,full,0,0.43
Sarafa Bazar,market,18,good,low,high,3,yes,0.9,89.3,Safe,22.7167,75.8554,9,low,partial,0,0.57
Manik Bagh,residential,9,good,low,medium,1,yes,2.1,87.9,Safe,22.6934,75.8823,6,low,partial,0,0.41
Kesar Bagh,residential,7,good,low,medium,3,yes,2.3,88.2,Safe,22.7189,75.8734,29,low,partial,0,0.38
Tejaji Nagar,residential,15,medium,medium,medium,10,no,3.2,45.9,Medium,22.6934,75.8345,23,medium,partial,0,0.41
Tejaji Nagar,residential,9,medium,medium,medium,21,no,3.2,28.6,Unsafe,22.6934,75.8345,23,medium,partial,0,0.44
Govind Colony,residential,20,medium,low,medium,9,no,3.8,41.5,Medium,22.7312,75.8912,47,low,partial,0,0.55
Sanwer Road Indl,industrial,1,poor,high,low,37,no,7.0,12.3,Unsafe,22.7456,75.8123,74,medium,partial,0,0.95
Bada Rawla Naka,market,18,medium,medium,medium,8,no,3.5,45.5,Medium,22.7089,75.8556,19,low,partial,0,0.65
Chambal Colony,residential,12,poor,high,low,32,no,6.5,14.1,Unsafe,22.7289,75.8478,35,low,partial,0,0.4
Kanadiya,residential,3,medium,medium,low,7,no,4.5,19.8,Unsafe,22.7934,75.8456,83,low,partial,1,0.52
AB Road,commercial,19,good,low,high,1,yes,1.3,91.0,Safe,22.7233,75.8958,52,low,full,0,0.4
South Tukoganj,commercial,16,good,low,high,1,yes,0.8,95.9,Safe,22.7148,75.8826,12,low,full,0,0.41
Chambal Colony,residential,1,poor,high,low,42,no,6.5,20.7,Unsafe,22.7289,75.8478,35,low,partial,0,0.57
MG Road,commercial,11,good,low,high,2,yes,1.0,95.2,Safe,22.7196,75.8799,18,low,full,1,0.48
Juni Indore,market,14,medium,medium,medium,14,no,3.0,37.1,Unsafe,22.7123,75.8512,16,high,partial,0,0.59
Pipliyahana,residential,16,good,low,medium,6,yes,2.6,90.4,Safe,22.6823,75.8934,48,low,partial,0,0.36
Scheme 78,residential,2,good,low,low,7,yes,2.2,56.5,Medium,22.7467,75.8756,78,low,full,0,0.55
Murai Mohalla,residential,2,medium,medium,low,8,no,4.5,9.0,Unsafe,22.7145,75.8478,13,high,partial,0,0.61
Dewas Road,commercial,15,medium,medium,medium,10,yes,4.0,60.5,Medium,22.7456,75.8234,75,low,partial,0,0.45
Manik Bagh,residential,16,good,low,medium,3,yes,2.1,92.5,Safe,22.6934,75.8823,6,low,partial,0,0.45
Hira Nagar,residential,12,medium,low,medium,12,no,3.0,68.6,Medium,22.7534,75.8823,62,low,partial,0,0.44
Super Corridor,commercial,5,good,low,low,3,yes,2.0,59.2,Medium,22.8123,75.8934,85,low,full,0,0.58
Nanda Nagar,residential,4,medium,low,low,6,yes,2.5,48.2,Medium,22.7456,75.8956,64,low,partial,0,0.58
Kanadiya,residential,14,medium,medium,medium,9,no,4.5,52.8,Medium,22.7934,75.8456,83,low,partial,1,0.42
Bada Rawla Naka,market,18,medium,medium,medium,11,no,3.5,41.0,Medium,22.7089,75.8556,19,low,partial,0,0.6
Old Railway Lanes,isolated,18,poor,high,low,38,no,6.5,15.3,Unsafe,22.7134,75.8423,15,high,none,0,0.78
Chhota Bangarda,residential,14,medium,medium,low,5,no,5.0,48.9,Medium,22.7823,75.9123,76,low,none,0,0.41
Raoji Bazar,market,15,medium,medium,high,14,yes,1.8,48.4,Medium,22.7198,75.8534,11,high,partial,0,0.56
Bapat Square,commercial,8,good,low,high,6,yes,1.4,87.6,Safe,22.7234,75.8867,36,low,full,0,0.44
Juni Indore,market,21,medium,medium,medium,10,no,3.0,14.6,Unsafe,22.7123,75.8512,16,high,partial,0,0.84
Chappan Dukan,market,14,good,low,high,7,yes,1.0,90.5,Safe,22.7312,75.8823,43,low,full,0,0.65
Rau,residential,1,medium,low,low,7,no,4.0,34.0,Unsafe,22.6734,75.8123,1,low,partial,1,0.6
Palda,residential,14,medium,medium,low,21,no,5.0,34.2,Unsafe,22.6734,75.9123,24,low,partial,0,0.38
Chhota Bangarda,residential,5,medium,medium,low,12,no,5.0,14.4,Unsafe,22.7823,75.9123,76,low,none,0,0.56
Murai Mohalla,residential,16,medium,medium,low,14,no,4.5,26.3,Unsafe,22.7145,75.8478,13,high,partial,0,0.37
Betma Road,isolated,5,poor,high,low,41,no,9.0,16.8,Unsafe,22.7123,75.7723,79,high,none,0,1.04
Betma Road,isolated,7,poor,high,low,42,no,9.0,5.9,Unsafe,22.7123,75.7723,79,high,none,0,0.84
Nipania,residential,1,good,low,low,2,yes,2.2,59.6,Medium,22.7634,75.9123,71,low,partial,0,0.54
Kanadiya Road,isolated,13,poor,high,low,37,no,8.0,17.2,Unsafe,22.7823,75.8456,82,low,partial,0,0.81
Mhow Road,commercial,16,medium,medium,medium,15,yes,3.5,55.4,Medium,22.6534,75.8234,26,low,partial,0,0.46
